Location[a],Cases[b],Deaths[c],Recov.[d]
Worldwide,"7,787,271","430,139","3,709,064"
United States[e],"2,115,994","117,126","650,279"
Brazil[f],"850,796","42,791","427,610"
Russia[g],"528,964","6,948","280,050"
India,"320,922","9,195","162,379"
United Kingdom[h],"294,375","41,662",No data
Spain[i],"243,605","27,136","150,376"
Italy,"236,651","34,301","174,865"
Peru,"225,132","6,498","111,724"
Germany[j],"187,423","8,867","171,897"
Iran,"184,955","8,730","146,748"
Turkey,"176,677","4,792","150,087"
Chile[k],"167,355","3,101",No data
France[l],"156,813","29,389","72,808"
Mexico,"142,690","16,872","104,975"
Pakistan,"139,230","2,632","51,735"
Saudi Arabia,"123,308",932,"82,548"
Canada,"98,410","8,107","59,354"
Bangladesh,"84,379","1,139","17,827"
China[m],"83,132","4,634","78,369"
Qatar,"78,416",70,"55,252"
South Africa,"65,736","1,423","36,850"
Belgium[n],"59,918","9,650","16,547"
Belarus,"53,241",303,"29,111"
Sweden,"50,931","4,874",No data
Colombia,"48,746","1,592","19,426"
Netherlands[o],"48,640","6,057",No data
Ecuador,"46,356","3,874","4,600"
Egypt[p],"42,980","1,484","11,529"
United Arab Emirates,"41,990",288,"26,761"
Singapore,"40,197",26,"28,808"
Indonesia,"37,420","2,091","13,776"
Portugal,"36,463","1,512","22,438"
Kuwait,"35,466",289,"25,882"
Ukraine[q],"31,154",889,"14,082"
Switzerland,"31,094","1,677","28,800"
Argentina[r],"30,282",815,"9,070"
Poland,"29,017","1,237","14,104"
Philippines,"25,392","1,074","5,706"
Ireland,"25,295","1,705","23,213"
Afghanistan,"24,102",451,"4,201"
Dominican Republic,"22,572",577,"13,084"
Oman,"22,077",99,"7,530"
Romania,"21,679","1,394","15,635"
Panama,"20,059",429,"13,759"
Iraq,"18,950",549,"7,515"
Israel[s],"18,876",300,"15,319"
Bolivia,"17,842",585,"2,768"
Bahrain,"17,713",37,"12,191"
Japan[t],"17,382",924,"15,580"
Austria,"17,078",677,"16,012"
Armenia,"16,667",269,"6,214"
Nigeria,"15,682",407,"5,101"
Kazakhstan,"14,496",73,"9,056"
Serbia[u],"12,251",253,"11,348"
Denmark[v],"12,139",597,"11,035"
South Korea,"12,085",277,"10,718"
Moldova[w],"11,459",398,"6,421"
Ghana,"11,118",48,"3,979"
Algeria,"10,810",760,"7,420"
Czech Republic,"9,991",328,"7,219"
Azerbaijan[x],"9,570",115,"5,309"
Guatemala,"9,491",367,"1,804"
Morocco[y],"8,692",212,"7,696"
Cameroon,"8,681",208,"4,836"
Norway[z],"8,628",242,"8,138"
Honduras,"8,455",310,894
Malaysia,"8,445",120,"7,311"
Australia[aa],"7,300",102,"6,812"
Finland[ab],"7,087",325,"6,200"
Sudan,"7,007",447,"2,556"
Nepal,"5,335",18,913
Senegal,"4,996",52,"3,228"
Uzbekistan,"4,994",19,"3,874"
Tajikistan,"4,971",50,"3,288"
Ivory Coast,"4,848",45,"2,397"
DR Congo[ac],"4,724",106,595
Guinea,"4,484",25,"3,213"
Djibouti,"4,449",41,"2,823"
Haiti,"4,165",70,24
Hungary,"4,069",562,"2,482"
Luxembourg,"4,063",110,"3,922"
North Macedonia,"3,895",179,"1,705"
El Salvador,"3,603",72,"1,738"
Gabon,"3,463",22,"1,024"
Kenya,"3,457",100,"1,221"
Bulgaria,"3,266",172,"1,723"
Ethiopia,"3,166",55,495
Thailand,"3,134",58,"2,987"
Greece,"3,112",183,"1,374"
Venezuela,"2,904",24,715
Bosnia and Herzegovina,"2,893",163,"2,119"
Somalia[ad],"2,579",87,559
Kyrgyzstan,"2,285",27,"1,791"
Croatia,"2,251",107,"2,134"
Cuba[ae],"2,238",84,"1,923"
Central African Republic,"2,057",7,363
Maldives,"2,013",8,"1,217"
Estonia,"1,973",69,"1,705"
Sri Lanka,"1,884",11,"1,252"
Iceland,"1,808",10,"1,794"
Mali,"1,776",104,"1,058"
Lithuania,"1,763",75,"1,416"
South Sudan,"1,693",27,49
Mauritania,"1,682",83,311
Costa Rica,"1,662",12,743
Slovakia,"1,545",28,"1,410"
Slovenia,"1,492",109,"1,359"
Nicaragua,"1,464",55,953
Albania,"1,464",36,"1,039"
Guinea-Bissau,"1,460",15,153
Puerto Rico,"1,460",146,850
Lebanon,"1,442",32,868
Zambia,"1,357",10,"1,104"
Kosovo,"1,326",31,921
Equatorial Guinea,"1,306",12,200
Paraguay,"1,261",11,647
Madagascar,"1,252",10,362
New Zealand[af],"1,154",22,"1,132"
Sierra Leone,"1,132",51,670
Hong Kong,"1,110",4,"1,061"
USS Theodore Roosevelt[ag],"1,102",1,53
Latvia,"1,097",28,845
Tunisia,"1,094",49,995
Charles de Gaulle[ah],"1,081",0,0
Cyprus[ai],980,18,807
Niger,980,66,881
Jordan,953,9,678
Burkina Faso,892,53,790
Andorra,853,51,781
Georgia[aj],851,14,702
Chad,848,72,718
Uruguay[ak],847,23,780
Donetsk PR[al],827,38,209
Congo[am],728,24,221
Cape Verde,726,6,298
Diamond Princess[t],712,14,653
Yemen,705,160,39
San Marino,694,42,520
Uganda,694,0,219
São Tomé and Príncipe,659,12,176
Malta,646,9,601
Jamaica,615,10,420
Mozambique,553,2,151
Rwanda,541,2,332
Togo,530,13,291
Malawi,529,5,66
Tanzania,509,21,183
Palestine,489,3,414
Somaliland[an],550,27,64
Eswatini,486,3,247
Liberia,446,32,214
Taiwan[ao],443,7,431
Luhansk PR[al],429,9,357
Libya,418,8,62
Benin,412,6,222
Zimbabwe,356,4,54
Mauritius,337,10,324
Isle of Man[ap],336,24,312
Vietnam,334,0,323
Montenegro,324,9,315
Jersey,313,30,292
Myanmar,261,6,165
Guernsey,252,13,238
Mongolia,197,0,95
Suriname,196,3,9
Cayman Islands,187,1,115
Faroe Islands,187,0,187
Guam[ag],184,5,168
Comoros,176,2,114
Gibraltar,176,0,172
Syria[aq],170,6,71
Guyana,159,12,95
Costa Atlantica,148,0,0
Bermuda,142,9,127
Brunei,141,2,138
Angola,138,6,61
Greg Mortimer[ak],128,1,No data
Cambodia,128,0,125
Trinidad and Tobago,117,8,109
Northern Cyprus[ar],108,4,104
Bahamas,103,11,68
Aruba,101,3,98
Monaco,99,4,93
Barbados,96,7,83
Burundi,85,1,45
Liechtenstein,82,1,55
Sint Maarten,77,15,61
South Ossetia[as],72,0,36
U.S. Virgin Islands,72,6,64
Artsakh[at],68,0,43
Eritrea,65,0,39
Bhutan,62,0,18
French Polynesia,60,0,60
Botswana,60,1,24
Macau,45,0,45
Abkhazia[au],36,1,27
Namibia,32,0,17
Northern Mariana Islands,30,2,19
The Gambia,28,1,22
Saint Vincent[av],27,0,25
Antigua and Barbuda,26,3,20
East Timor,24,0,24
Grenada,23,0,22
Curaçao,22,1,16
New Caledonia,21,0,20
Belize,20,2,16
Laos,19,0,19
Saint Lucia,19,0,18
Fiji,18,0,18
Dominica,18,0,16
Saint Kitts and Nevis,15,0,15
Falkland Islands,13,0,13
Greenland,13,0,13
MS Zaandam[aw],13,4,No data
Coral Princess[ax],12,2,No data
Turks and Caicos Islands,12,1,10
Vatican City,12,0,12
Montserrat,11,1,10
Seychelles,11,0,11
British Virgin Islands,8,1,7
HNLMS Dolfijn[ay],8,0,No data
Papua New Guinea,8,0,8
Lesotho,4,0,2
Anguilla,3,0,3
Saba,3,0,3
Bonaire,2,0,2
Sint Eustatius,2,0,2
Saint Pierre and Miquelon,1,0,1
